autor,titlu,text
Marin Sorescu,Acea picătură,"Atât a plouat, atât a plouat,
Dar n-a picat acea picătură,
Ca un cuvânt binecuvântat
Frecat pe o ursuză gură.

Și bobul stă în pământ amânat,
Parcă s-ar duce în cer să se roage:
Peste câmpii și viroage
Prea multă apă a curs și-i păcat!

Căci el nu rodește numai cu apă,
Din rădăcini nu va țâșni scânteia...
Pământul a-ngenuncheat în semințele arse:
Dă, Doamne, picătura aceea!"
Marin Sorescu,Aceeasi nostalgie,"Pachetul de țigări gol
are o nostalgie
pe care numai vidul cosmic o-nțelege
se simte absolut părăsit
ca o rampă de lansare
după ce toate rachetele trimise în stele
n-au făcut decât fum

flori frumoase
nu întâlnești decât toamna foarte târziu
după ce vânturile răsucite ca otgonul
și-au făcut toate mendrele, au bătut furnicile
și doar albăstrelele de câmp
au rezistat în vaza lor de loess
deschizându-și multiplele lor pleoape
cască niște priviri
pline de uimire
se aceeași nostalgie le unește
pe masa mea
cu pachetul de țigări gol
și cu mine care nu știu de ce
mă tot uit pe fereastră."
Marin Sorescu,"Ah, unde-a fost cartagina","Ah, unde-a fost Cartagina arată,
De mii de ani, nici iarba nu răsare.
Învingătorii-atunci au dat cu sare,
Făcând dintr-o minune-o albă pată.

Un vechi blestem efectul și-l arată
Poate și-aici, între Carpați și mare.
Românul este bun numai să are,
Dar rodul să nu-l strângă niciodată.

Corabia cu vise se scufundă,
Toți șobolanii au sărit în undă,
Înoată-nspăimântați în albe creste.

Rămână doar și versurile-aceste,
Catarge fulgerate, dând de veste
De-o epocă, în scufundări fecundă."
Marin Sorescu,Aici,"Sunt aici și nu sunt nicăieri,
Casa însăși e persecutată,
Să-și înalțe ziduri din tăceri
Și să stea cu ușa ferecată.

Noime, dodii, vorbe în doi peri,
Dulce-i spusa voastră-ngemănată!
Stai închis în tine, nu disperi,
Dar un corb îți spune „Niciodată"".

Nu mai e pe lume nicio rază,
E un secol orb ce delirează
Și s-a iscălit pe miezul pâinii...

Orice-aș spune, se interpretează,
Stă milițianu-afar', de pază,
Și de limbă-ncearcă-a-mi trage câinii."
Marin Sorescu,Alb,"Gerul iar trage cu tunul,
Dârdâie-al pământului cățel,
Adevărul se-mparte la unu
Și rămâne la el.

Mișună albul pe câmp,
Furnicarul acesta de fulgi !
Saltul iepurelui plăpând
Cu un țipat îl frângi."
Marin Sorescu,Alergătorul,"Un câmp pustiu,
Bătătorit ca un drum,
Și din când în când
Câte o carte.

La distanțe foarte mari,
Vreo carte fundamentală,
Tare ca piatra.

Vine unul, gâfâind de mușchi,
Sănătos ca un zeu nou,
Și scuipă pe ea,
Pe fiecare la rând.
Calcă peste ele dumnezeiește.

A obosit, a mers destul,
Câmpul se întinde înainte pustiu,
Bătătorit ca un drum.
Alergătorul cade jos, moare,
Devine carte fundamentală, ultimul cuvânt,
Semn peste care nu se mai poate trece.

Se aude un gâfâit,
Din spate răsare cineva,
Un alergător se oprește, scuipă pe semn,
Și se pierde în zare."
Marin Sorescu,Alfabetul,"N-a prea observat
Când a pierdut prima literă.
A continuat să vorbească,
Ocolind cu grijă
Cuvintele
Care cuprindeau acea literă.
Apoi a mai pierdut una,
Mi se pare pe A.
Soarele, Luna
Au rămas pe dinafară.
Și încă una,
Fericirea, iubirea
Au început să nu-l mai înțeleagă.
Litera de pe urmă
I-a rămas înfiptă într-o silabă,
Ca un dinte obosit.
Acum aude, vede,
Dar nu mai are cuvinte pentru viață,
Formată în cea mai mare parte din literele
Pe care le-a pierdut."
Marin Sorescu,Altă schiță pentru „Iona„,"Dați de pomană colaci de salvare,
În sâmbăta morților numai colaci
Pentru cei care țipă pe mare;
Îi puteți vedea din copaci.

Ei și-au pus într-o sticlă mesajul,
Îl veți primi îmbuteliat.
Cine mai are astăzi curajul
Să descifreze-un naufragiat?

Tot mai neciteț le e scrisul,
Amenințător și cam spălăcit;
Ei încurcă realitatea  cu visul,
Cred că citindu-i ați și sărit

În ușoarele bărci de salvare,
Căutându-i cu felinare.
Și pentru-a fi lesne zăriți în abis
Ei își lasă țipătul, ochiul deschis.

De sâmbăta morților, o dată pe an,
Trageți ușor zăvoarele porților:
Rătăciții pe marele-ocean
Vin la masă, de sâmbăta morților."
Marin Sorescu,Altă stampă,"Cald și la umbră. Perlele ard gâtul
Femeilor, ce înseși par tăciuni,
Părând să deie foc acestei lumi
Ce Rubiconul a trecut și cnutul.

Mobilizat se simte ca recrutul
Pensionarul cu albiți perciuni.
În viitor reîntâlnim trecutul
Și, după marți, urmează iarăși luni.

Spre a vorbi mai simplu: e un chin!
Nu se găsește ceapă, usturoi,
Milițienii umblă câte doi

Ca-ndrăgostiții, cu ciubote noi.
În casă nu am voie să mă-nchin,
Iar pâinea mi se dă pe buletin."
Marin Sorescu,Am atins incredibilul...,"Am atins incredibilul
Și m-am instalat în el,
Cât de cât.

Dar e numai partea de la suprafață,
Pojghița.

Există nenumărate straturi
De incredibil.
(De ceea ce nu-ți vine să crezi).
Ca foile nenumărate
Ce îmbracă un bulb.

Și centrul de foc al incredibilului
Miezul, sâmburele
De necrezut al necrezutului
Este și el un început.
Partea de la suprafață,
Pojghița...

Și tot așa."
Marin Sorescu,Am închis citatul,"De câte ori închid citatul,
Simt în mine
Nu știu ce secretă jubilație
De polițist:
L-am închis și pe-ăsta,
Mama lui de porc!"
Marin Sorescu,Am legat...,"Am legat copacii la ochi
Cu-o basma verde
Și le-am spus să mă găsească.

Și copacii m-au găsit imediat
Cu un hohot de frunze.

Am legat păsările la ochi
Cu-o basma de nori
Și le-am spus să mă găsească.

Și păsările m-au găsit
Cu un cântec.

Am legat tristețea la ochi
Cu un zâmbet,
Și tristețea m-a găsit a doua zi
Într-o iubire.

Am legat soarele la ochi
Cu nopțile mele
Și i-am spus să mă găsească.

Ești acolo, a zis soarele,
După timpul acela,
Nu te mai ascunde.

Nu te mai ascunde,
Mi-au zis toate lucrurile
Și toate sentimentele
Pe care am încercat să le leg
La ochi."
Marin Sorescu,Am vrut să mă schimb,"Am vrut să mă schimb pe unul mai bun,
L-am căutat cu lumânarea,
Înalt ca bradul, curat ca floarea,
Și care noaptea să doarmă tun.
Ce, cu mândrie, să-și zică: unul
Ca mine-n lume nu mai există.
Frumos, cu educație ateistă,
Poți să îl cauți să tragi cu tunul.
Ce bine! Ce bine! Ce bine!
Și, pe de altă parte, vai ce păcat!
Nimeni n-a vrut să se dea pe mine
Și de-aceea am rămas neschimbat."
Marin Sorescu,Anticarul,"Cunosc mersul vremii
După cum îmi vând cărțile,
Jocul lor între rafturi
Și restul lumii
E un indiciu sigur.

Când au versurile căutare
Se întâmplă nunți,
Pântecul fetelor are nevoie
Să adoarmă frumos până seara
De cântece de leagăn.

După ce-l vând pe Homer
Am o oră de pace,
Când se întoarce la mine
Trebuie să rătăcesc zece ani pe mare.

Enciclopediile legate în piele de șoareci
Se urnesc cel mai greu
Și când le văd în stradă
Împinse din spate de câte opt oameni cu pârghii
Îmi fac semnul crucii
Și felicit secolul 18.

De la Tolstoi și Dostoievski
Te poți aștepta la orice,
Ori să ajungi cineva
Ori să-ți pierzi slujba.

Fire de praf pe toate epocile
Sar să joace
În raza de soare
Mereu anunțată.

Acum toate cărțile
Vin vijelie spre rafturi,
Mi-au spart și geamurile și ochelarii,
Așa ceva nu mi s-a mai întâmplat -
E noapte, e zi afară?
Ia uitați-vă și dumneavoastră."
Marin Sorescu,"Apă vie, apă moartă","De cum am gustat din acel lichid,
Am și devenit autocefal,
Ca biserica de răsărit,
Cu multele-i turle de vis opal.

Fermecat în mâini țineam șipul,
Plin ochi de vrăjitele picături,
În fiecare picătură-mi vedeam limpede chipul,
Zguduit de fantastice furnicături.

Ce bine c-am dat eu de apa vie,
Căutată de toate poveștile laolaltă.
Ba e moartă - mi-a spus o ciocârlie -,
Apă moartă, luată din baltă.

Atunci, cum se face că are efect?
Am întrebat firoscoasa de ciocârlie.
- Aceeași apă ce palpită în piept,
Pentru unii e moartă, pentru alții e vie."
Marin Sorescu,Arăt atât de îngrozitor,"Arăt atât de îngrozitor
Încât pierd mult timp
Consolându-i pe cei
Care vin să mă vadă.

Țipă, își pun mâinile la ochi,
Blestemă.
""De ce tocmai tu"", se răstesc la mine.
Doamne, unde ești, Tu exiști?

Eu încerc să le ridic moralul
- Ei, lăsați, nu-i chiar așa cum vi se pare.
Săptămâna trecută arătam și mai rău
Boala e boală, totuși.
Face ravagii unde se încuibă
Și la urma urmei, toți murim
Și vorba lui Hamlet: ""Dacă-i acum
Nu va fi altădată"".

De n-ar fi durerea asta îngrozitoare
Aș accepta senin, mioritic,
Chiar și figura asta de schingiuit.

Lumea e sinceră.
Lumea suferă pentru mine.
""Curaj""
Aud din toate părțile
Și eu ce pot face?
Îi consolez pe toți, cum pot,
Numai mie nu știu ce să-mi mai spun,
Când rămân singur."
Marin Sorescu,Arcada,"Azi am văzut un ochi
Care mă iubea.
Vedeam bine că m-ar fi primit
Sub sprânceană lui.

Dar a venit un nor
Și ochiul s-a-nchis,
Ori s-a speriat
Și-a fugit în chipul tău
Lângă celălalt ochi,
Lângă fruntea și lângă gura
Care nu mă iubesc."
Marin Sorescu,"Ardealul, starea mea de spiri","Ardealul, starea mea de spirit
Cu care mă gândesc la țară,
De parc-aș respira lumină
Și existență milenară.

La orice pas îți râde-o floare,
Sub orice pas e un mormânt,
Ardealul întregind o roată
Sub care Horia s-a frânt.

Aud un clopot sus pe-o cruce,
Bătând cu limba-n ideal,
Ca-ntr-o Duminică a țării
Vin la biserică-n Ardeal."
Marin Sorescu,Așteptare,"Cică lucrurile mai trec odată
Pe unde-au mai fost
Ca niște sentimente comete.
Trebuie numai să știi să le-aștepți,
Trebuie numai să rupi,
Stând pe loc
Infinite perechi de ghete.

Asta înseamnă că salcâmul
Tăiat astă-toamnă
Se va mai înălța pentru o clipă
Pe vechea lui rădăcină.
Că tu mă vei mai iubi cu adevărat
Peste câteva miliarde de ani lumină.

O, poate nu mai e mult până-atunci,
Cine știe!
Iată, eu am și-nceput să te-aștept
Măsurând timpul cu barba,
Veșnicie cu veșnicie."
Marin Sorescu,Atavism,"Uitatul pe fereastră a devenit un tic,
Toată lumea se uită pe fereastră.
Citește, spală, iubește, moare
Și din când în când dă fuga
Și se uită pe fereastră.

Ce vreți să vedeți?
După cine priviți?
Luați-vă gândul, cine a fost de venit a venit,
Cine a fost de plecat a plecat,
Ce a fost de trecut prin dreptul vostru a trecut.

Lăsați perdelele,
Trageți obloanele
Și mai luați-vă o dată tensiunea.

După ce a văzut totul - ploi, războaie,
Soare, cârtițe, evenimente,
Repetate mereu aidoma,
Omenirea nu cred că mai dorește serios
Să mai vadă ceva.
Totuși uite-o lipită de ferestre,
În ochi cu un gol."
Marin Sorescu,Atunci,"-Atunci de ce tăcerea asta
Atât de densă, de îngrozitoare?
-Ba comunicăm cu cei de dincolo
Tot timpul
Dar nu mai avem ce să ne spunem."
Marin Sorescu,Aud,"Aud cum se-nvârte pământul,
Disting cele două rotații,
Amândouă-mi răsucesc cântul
Respirației grele prin spații.

Clipele-și arată petale suave;
Conectat la universal
Sângele-mi saltă la suprafață epave
Vechi și le izbește de mal.

Ori vâsleam pe-o mare de piatră?
Amețeala cerului îmi face bine!
Câte-o lumină ciudată mă latră
Ca un fir cotrobăindu-mi prin vine.

Esențele s-au scurs pe furiș în vise,
Toate lucrurile sunt aparente,
Străbat o infinitate de uși deschise
Înfiat de lumi transparente."
